,date,Mkt-RF,SMB,HML,RF
2,2017-04-18,-0.25,0.31,-0.19,0.003
3,2017-04-19,-0.08,0.56,-0.44,0.003
4,2017-04-20,0.83,0.6,0.26,0.003
5,2017-04-21,-0.28,0.06,-0.15,0.003
6,2017-04-24,1.18,0.29,0.5,0.003
7,2017-04-25,0.65,0.4,-0.07,0.003
8,2017-04-26,0.04,0.75,0.32,0.003
9,2017-04-27,0.05,-0.2,-0.98,0.003
10,2017-04-28,-0.3,-0.76,-0.61,0.003
11,2017-05-01,0.21,0.25,-0.13,0.003
12,2017-05-02,0.03,-0.47,-0.21,0.003
13,2017-05-03,-0.19,-0.52,0.22,0.003
14,2017-05-04,0.02,-0.13,-0.36,0.003
15,2017-05-05,0.46,0.11,0.0,0.003
16,2017-05-08,-0.04,-0.21,0.26,0.003
17,2017-05-09,-0.05,0.4,-0.81,0.003
18,2017-05-10,0.2,0.25,0.03,0.003
19,2017-05-11,-0.26,-0.43,-0.15,0.003
20,2017-05-12,-0.18,-0.38,-0.61,0.003
21,2017-05-15,0.53,0.25,0.2,0.003
22,2017-05-16,-0.03,0.1,-0.09,0.003
23,2017-05-17,-1.97,-0.96,-0.6,0.003
24,2017-05-18,0.4,0.0,-0.39,0.003
25,2017-05-19,0.7,-0.34,0.4,0.003
26,2017-05-22,0.56,0.25,-0.3,0.003
27,2017-05-23,0.18,-0.01,0.65,0.003
28,2017-05-24,0.24,-0.19,-0.46,0.003
29,2017-05-25,0.42,-0.35,-0.75,0.003
30,2017-05-26,0.06,-0.03,0.1,0.003
31,2017-05-30,-0.19,-0.54,-0.34,0.003
32,2017-05-31,-0.02,-0.04,-0.53,0.003
33,2017-06-01,0.95,1.03,0.04,0.003
34,2017-06-02,0.35,0.44,-0.76,0.003
35,2017-06-05,-0.17,-0.46,-0.03,0.003
36,2017-06-06,-0.28,0.1,-0.03,0.003
37,2017-06-07,0.15,-0.12,-0.04,0.003
38,2017-06-08,0.18,1.19,0.93,0.003
39,2017-06-09,-0.12,0.31,2.44,0.003
40,2017-06-12,-0.11,-0.17,0.34,0.003
41,2017-06-13,0.55,0.06,-0.14,0.003
42,2017-06-14,-0.17,-0.55,-0.52,0.003
43,2017-06-15,-0.3,-0.3,-0.11,0.003
44,2017-06-16,-0.03,-0.25,-0.15,0.003
45,2017-06-19,0.86,0.1,-0.75,0.003
46,2017-06-20,-0.73,-0.45,-0.48,0.003
47,2017-06-21,-0.07,-0.23,-1.67,0.003
48,2017-06-22,0.02,0.46,-0.4,0.003
49,2017-06-23,0.24,0.75,-0.48,0.003
50,2017-06-26,0.04,0.09,0.7,0.003
51,2017-06-27,-0.85,-0.21,1.34,0.003
52,2017-06-28,1.02,0.8,0.21,0.003
53,2017-06-29,-0.83,0.05,1.37,0.003
54,2017-06-30,0.14,-0.09,-0.29,0.003
55,2017-07-03,0.24,0.44,1.21,0.004
56,2017-07-05,0.12,-0.69,-0.58,0.004
57,2017-07-06,-0.95,-0.44,0.12,0.004
58,2017-07-07,0.7,0.4,-0.41,0.004
59,2017-07-10,0.05,-0.47,-0.08,0.004
60,2017-07-11,0.0,0.29,-0.55,0.004
61,2017-07-12,0.72,0.06,-0.53,0.004
62,2017-07-13,0.17,-0.01,0.39,0.004
63,2017-07-14,0.42,-0.22,-0.52,0.004
64,2017-07-17,0.0,0.22,0.1,0.004
65,2017-07-18,0.04,-0.37,-0.31,0.004
66,2017-07-19,0.59,0.46,0.03,0.004
67,2017-07-20,0.0,0.06,-0.04,0.004
68,2017-07-21,-0.08,-0.42,-0.24,0.004
69,2017-07-24,-0.03,0.1,-0.19,0.004
70,2017-07-25,0.38,0.44,0.96,0.004
71,2017-07-26,-0.06,-0.48,-0.77,0.004
72,2017-07-27,-0.14,-0.68,0.44,0.004
73,2017-07-28,-0.17,-0.06,0.26,0.004
74,2017-07-31,-0.11,-0.28,0.43,0.004
75,2017-08-01,0.24,-0.13,0.14,0.004
76,2017-08-02,-0.08,-1.16,0.14,0.004
77,2017-08-03,-0.21,-0.36,-0.33,0.004
78,2017-08-04,0.25,0.36,0.39,0.004
79,2017-08-07,0.16,-0.1,-0.58,0.004
80,2017-08-08,-0.24,-0.08,0.24,0.004
81,2017-08-09,-0.14,-0.8,-0.07,0.004
82,2017-08-10,-1.49,-0.31,0.27,0.004
83,2017-08-11,0.19,0.17,-0.87,0.004
84,2017-08-14,1.03,0.33,0.13,0.004
85,2017-08-15,-0.11,-0.87,-0.03,0.004
86,2017-08-16,0.18,-0.14,-0.44,0.004
87,2017-08-17,-1.6,-0.18,-0.17,0.004
88,2017-08-18,-0.15,0.11,0.24,0.004
89,2017-08-21,0.06,-0.27,-0.22,0.004
90,2017-08-22,1.07,-0.02,-0.23,0.004
91,2017-08-23,-0.33,0.12,0.41,0.004
92,2017-08-24,-0.14,0.57,0.17,0.004
